"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Oct 29 04:12:23 CST 2021","Fri Oct 29 04:12:28 CST 2021","5296","test_case.test_login","test_login","Test_Login","","","test_login",""
"passed","Fri Oct 29 04:12:05 CST 2021","Fri Oct 29 04:12:10 CST 2021","5245","test_case.test_login","test_login","Test_Login","","","test_logins",""
